table_number,table_name,month,period,period_name,geography,Type,category,value,units
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1981,marketing year,US,Area,abandonment,3.4,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1982,marketing year,US,Area,abandonment,14.3,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1983,marketing year,US,Area,abandonment,7.4,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1984,marketing year,US,Area,abandonment,6.9,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1985,marketing year,US,Area,abandonment,4.3,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1986,marketing year,US,Area,abandonment,15.9,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1987,marketing year,US,Area,abandonment,3.6,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1988,marketing year,US,Area,abandonment,4.6,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1989,marketing year,US,Area,abandonment,10.2,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1990,marketing year,US,Area,abandonment,5.1,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1991,marketing year,US,Area,abandonment,7.9,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1992,marketing year,US,Area,abandonment,16.3,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1993,marketing year,US,Area,abandonment,4.9,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1994,marketing year,US,Area,abandonment,2.9,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1995,marketing year,US,Area,abandonment,5.5,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1996,marketing year,US,Area,abandonment,12.2,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1997,marketing year,US,Area,abandonment,3.6,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1998,marketing year,US,Area,abandonment,20,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1999,marketing year,US,Area,abandonment,9.9,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2000,marketing year,US,Area,abandonment,16,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2001,marketing year,US,Area,abandonment,12.5,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2002,marketing year,US,Area,abandonment,11.2,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2003,marketing year,US,Area,abandonment,11.1,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2004,marketing year,US,Area,abandonment,4.5,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2005,marketing year,US,Area,abandonment,3.2,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2006,marketing year,US,Area,abandonment,17,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2007,marketing year,US,Area,abandonment,3.2,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2008,marketing year,US,Area,abandonment,20.4,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2009,marketing year,US,Area,abandonment,17.9,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2010,marketing year,US,Area,abandonment,2.5,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2011,marketing year,US,Area,abandonment,36.5,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2012,marketing year,US,Area,abandonment,24.5,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2013,marketing year,US,Area,abandonment,28.1,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2014,marketing year,US,Area,abandonment,16.4,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2015,marketing year,US,Area,abandonment,6,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2016,marketing year,US,Area,abandonment,5.7,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2017,marketing year,US,Area,abandonment,13,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2018,marketing year,US,Area,abandonment,29.7,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2019,marketing year,US,Area,abandonment,16.5,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2020,marketing year,US,Area,abandonment,32.5,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2021,marketing year,US,Area,abandonment,8.5,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2022,marketing year,US,Area,abandonment,47.6,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2023,marketing year,US,Area,abandonment,37.5,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2024,marketing year,US,Area,abandonment,30.7,Percent
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2025,marketing year,US,Area,abandonment,21,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1975,marketing year,US,Area,abandonment,4.8,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1976,marketing year,US,Area,abandonment,2.4176,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1977,marketing year,US,Area,abandonment,0.9321,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1978,marketing year,US,Area,abandonment,1.9355,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1979,marketing year,US,Area,abandonment,1.7641,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1980,marketing year,US,Area,abandonment,1.1034,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1981,marketing year,US,Area,abandonment,1.0239,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1982,marketing year,US,Area,abandonment,0.5642,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1983,marketing year,US,Area,abandonment,0.4762,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1984,marketing year,US,Area,abandonment,0.6242,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1985,marketing year,US,Area,abandonment,0.4762,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1986,marketing year,US,Area,abandonment,0.3587,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1987,marketing year,US,Area,abandonment,0.9427,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1988,marketing year,US,Area,abandonment,0.2637,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1989,marketing year,US,Area,abandonment,1.3797,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1990,marketing year,US,Area,abandonment,1.8158,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1991,marketing year,US,Area,abandonment,2.5559,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1992,marketing year,US,Area,abandonment,1.2149,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1993,marketing year,US,Area,abandonment,0.5789,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1994,marketing year,US,Area,abandonment,1.2463,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1995,marketing year,US,Area,abandonment,1.6309,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1996,marketing year,US,Area,abandonment,0.814,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1997,marketing year,US,Area,abandonment,0.4,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1998,marketing year,US,Area,abandonment,28.4583,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1999,marketing year,US,Area,abandonment,0.8981,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2000,marketing year,US,Area,abandonment,0.7051,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2001,marketing year,US,Area,abandonment,0.6667,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2002,marketing year,US,Area,abandonment,0.533,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2003,marketing year,US,Area,abandonment,0.6719,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2004,marketing year,US,Area,abandonment,0.641,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2005,marketing year,US,Area,abandonment,0.6657,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2006,marketing year,US,Area,abandonment,0.7669,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2007,marketing year,US,Area,abandonment,1.4031,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2008,marketing year,US,Area,abandonment,3.046,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2009,marketing year,US,Area,abandonment,2.2631,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2010,marketing year,US,Area,abandonment,1.2243,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2011,marketing year,US,Area,abandonment,0.8133,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2012,marketing year,US,Area,abandonment,0.6711,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2013,marketing year,US,Area,abandonment,0.796,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2014,marketing year,US,Area,abandonment,1.3514,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2015,marketing year,US,Area,abandonment,2.2713,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2016,marketing year,US,Area,abandonment,3.4447,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2017,marketing year,US,Area,abandonment,0.8317,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2018,marketing year,US,Area,abandonment,0.5993,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2019,marketing year,US,Area,abandonment,2.3174,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2020,marketing year,US,Area,abandonment,3.9604,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2021,marketing year,US,Area,abandonment,2.2134,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2022,marketing year,US,Area,abandonment,3.2418,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2023,marketing year,US,Area,abandonment,6.3265,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2024,marketing year,US,Area,abandonment,3.1401,Percent
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2025,marketing year,US,Area,abandonment,2.6573,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1975,marketing year,US,Area,area_harvested,8796,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1976,marketing year,US,Area,area_harvested,10914,"1,000 acres"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1977,marketing year,US,Area,area_harvested,13275,"1,000 acres"
