table_number,table_name,month,period,period_name,geography,Type,category,value,units
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1990,marketing year,US,Disappearance,ending_stocks,2262,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1991,marketing year,US,Disappearance,ending_stocks,3583,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1992,marketing year,US,Disappearance,ending_stocks,4456,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1993,marketing year,US,Disappearance,ending_stocks,3303,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1994,marketing year,US,Disappearance,ending_stocks,2588,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1995,marketing year,US,Disappearance,ending_stocks,2543,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1996,marketing year,US,Disappearance,ending_stocks,3920,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1997,marketing year,US,Disappearance,ending_stocks,3822,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1998,marketing year,US,Disappearance,ending_stocks,3836,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1999,marketing year,US,Disappearance,ending_stocks,3665,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2000,marketing year,US,Disappearance,ending_stocks,5879,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2001,marketing year,US,Disappearance,ending_stocks,7120,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2002,marketing year,US,Disappearance,ending_stocks,5140,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2003,marketing year,US,Disappearance,ending_stocks,3384,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2004,marketing year,US,Disappearance,ending_stocks,5482,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2005,marketing year,US,Disappearance,ending_stocks,5991,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2006,marketing year,US,Disappearance,ending_stocks,9290,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2007,marketing year,US,Disappearance,ending_stocks,9894,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2008,marketing year,US,Disappearance,ending_stocks,6032,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2009,marketing year,US,Disappearance,ending_stocks,2929,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2010,marketing year,US,Disappearance,ending_stocks,2572,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2011,marketing year,US,Disappearance,ending_stocks,3081,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2012,marketing year,US,Disappearance,ending_stocks,3613,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2013,marketing year,US,Disappearance,ending_stocks,2225,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2014,marketing year,US,Disappearance,ending_stocks,3391,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2015,marketing year,US,Disappearance,ending_stocks,3664,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2016,marketing year,US,Disappearance,ending_stocks,2680,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2017,marketing year,US,Disappearance,ending_stocks,4085,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2018,marketing year,US,Disappearance,ending_stocks,4717,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2019,marketing year,US,Disappearance,ending_stocks,7044,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2020,marketing year,US,Disappearance,ending_stocks,3488,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2021,marketing year,US,Disappearance,ending_stocks,4576,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2022,marketing year,US,Disappearance,ending_stocks,4478,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2023,marketing year,US,Disappearance,ending_stocks,3002,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2024,marketing year,US,Disappearance,ending_stocks,3833,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2025,marketing year,US,Disappearance,ending_stocks,4335,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1975,marketing year,US,Disappearance,ending_stocks,66,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1976,marketing year,US,Disappearance,ending_stocks,49,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1977,marketing year,US,Disappearance,ending_stocks,69.2,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1978,marketing year,US,Disappearance,ending_stocks,53.6,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1979,marketing year,US,Disappearance,ending_stocks,38.2,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1980,marketing year,US,Disappearance,ending_stocks,54.4,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1981,marketing year,US,Disappearance,ending_stocks,65,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1982,marketing year,US,Disappearance,ending_stocks,92.7,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1983,marketing year,US,Disappearance,ending_stocks,81.4,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1984,marketing year,US,Disappearance,ending_stocks,77.8,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1985,marketing year,US,Disappearance,ending_stocks,58.9,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1986,marketing year,US,Disappearance,ending_stocks,83.8,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1987,marketing year,US,Disappearance,ending_stocks,52.4,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1988,marketing year,US,Disappearance,ending_stocks,65.6,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1989,marketing year,US,Disappearance,ending_stocks,202,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1990,marketing year,US,Disappearance,ending_stocks,82,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1991,marketing year,US,Disappearance,ending_stocks,121,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1992,marketing year,US,Disappearance,ending_stocks,206,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1993,marketing year,US,Disappearance,ending_stocks,227,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1994,marketing year,US,Disappearance,ending_stocks,62,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1995,marketing year,US,Disappearance,ending_stocks,66,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1996,marketing year,US,Disappearance,ending_stocks,51,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1997,marketing year,US,Disappearance,ending_stocks,65,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1998,marketing year,US,Disappearance,ending_stocks,103,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1999,marketing year,US,Disappearance,ending_stocks,250,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2000,marketing year,US,Disappearance,ending_stocks,121,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2001,marketing year,US,Disappearance,ending_stocks,328,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2002,marketing year,US,Disappearance,ending_stocks,245,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2003,marketing year,US,Disappearance,ending_stocks,66,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2004,marketing year,US,Disappearance,ending_stocks,13,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2005,marketing year,US,Disappearance,ending_stocks,78,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2006,marketing year,US,Disappearance,ending_stocks,188,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2007,marketing year,US,Disappearance,ending_stocks,156,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2008,marketing year,US,Disappearance,ending_stocks,305,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2009,marketing year,US,Disappearance,ending_stocks,18,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2010,marketing year,US,Disappearance,ending_stocks,28,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2011,marketing year,US,Disappearance,ending_stocks,269,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2012,marketing year,US,Disappearance,ending_stocks,187,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2013,marketing year,US,Disappearance,ending_stocks,125,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2014,marketing year,US,Disappearance,ending_stocks,259,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2015,marketing year,US,Disappearance,ending_stocks,136,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2016,marketing year,US,Disappearance,ending_stocks,70,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2017,marketing year,US,Disappearance,ending_stocks,115,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2018,marketing year,US,Disappearance,ending_stocks,233,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2019,marketing year,US,Disappearance,ending_stocks,406,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2020,marketing year,US,Disappearance,ending_stocks,162,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2021,marketing year,US,Disappearance,ending_stocks,24,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2022,marketing year,US,Disappearance,ending_stocks,172,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2023,marketing year,US,Disappearance,ending_stocks,148,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2024,marketing year,US,Disappearance,ending_stocks,167,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2025,marketing year,US,Disappearance,ending_stocks,165,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1975,marketing year,US,Disappearance,exports,3300,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1976,marketing year,US,Disappearance,exports,4779,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1977,marketing year,US,Disappearance,exports,5459,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1978,marketing year,US,Disappearance,exports,6150,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1979,marketing year,US,Disappearance,exports,9177,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1980,marketing year,US,Disappearance,exports,5893,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1981,marketing year,US,Disappearance,exports,6555,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1982,marketing year,US,Disappearance,exports,5194,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1983,marketing year,US,Disappearance,exports,6750,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1984,marketing year,US,Disappearance,exports,6125,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1985,marketing year,US,Disappearance,exports,1855,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1986,marketing year,US,Disappearance,exports,6570,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1987,marketing year,US,Disappearance,exports,6345,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1988,marketing year,US,Disappearance,exports,5883,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1989,marketing year,US,Disappearance,exports,7242,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1990,marketing year,US,Disappearance,exports,7378,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1991,marketing year,US,Disappearance,exports,6348,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1992,marketing year,US,Disappearance,exports,4869,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1993,marketing year,US,Disappearance,exports,6555,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1994,marketing year,US,Disappearance,exports,8978,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1995,marketing year,US,Disappearance,exports,7375,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1996,marketing year,US,Disappearance,exports,6399,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1997,marketing year,US,Disappearance,exports,7060,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1998,marketing year,US,Disappearance,exports,4010,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,1999,marketing year,US,Disappearance,exports,6303,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2000,marketing year,US,Disappearance,exports,6303,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2001,marketing year,US,Disappearance,exports,10603,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2002,marketing year,US,Disappearance,exports,11266,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2003,marketing year,US,Disappearance,exports,13239,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2004,marketing year,US,Disappearance,exports,13683,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2005,marketing year,US,Disappearance,exports,17115,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2006,marketing year,US,Disappearance,exports,12324,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2007,marketing year,US,Disappearance,exports,12801,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2008,marketing year,US,Disappearance,exports,13029,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2009,marketing year,US,Disappearance,exports,11343,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2010,marketing year,US,Disappearance,exports,13881,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2011,marketing year,US,Disappearance,exports,11120,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2012,marketing year,US,Disappearance,exports,12182,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2013,marketing year,US,Disappearance,exports,9850,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2014,marketing year,US,Disappearance,exports,10836,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2015,marketing year,US,Disappearance,exports,8619,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2016,marketing year,US,Disappearance,exports,14309,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2017,marketing year,US,Disappearance,exports,15651,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2018,marketing year,US,Disappearance,exports,14036,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2019,marketing year,US,Disappearance,exports,14799,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2020,marketing year,US,Disappearance,exports,15272,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2021,marketing year,US,Disappearance,exports,13588,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2022,marketing year,US,Disappearance,exports,12133,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2023,marketing year,US,Disappearance,exports,11420,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2024,marketing year,US,Disappearance,exports,11453,"1,000 480-pound bales"
2,"U.S. upland cotton supply and use, 1975/76–2025/26",annual,2025,marketing year,US,Disappearance,exports,11825,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1975,marketing year,US,Disappearance,exports,11,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1976,marketing year,US,Disappearance,exports,5,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1977,marketing year,US,Disappearance,exports,25,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1978,marketing year,US,Disappearance,exports,30,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1979,marketing year,US,Disappearance,exports,52,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1980,marketing year,US,Disappearance,exports,33,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1981,marketing year,US,Disappearance,exports,12,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1982,marketing year,US,Disappearance,exports,13,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1983,marketing year,US,Disappearance,exports,36,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1984,marketing year,US,Disappearance,exports,90,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1985,marketing year,US,Disappearance,exports,105,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1986,marketing year,US,Disappearance,exports,114,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1987,marketing year,US,Disappearance,exports,237,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1988,marketing year,US,Disappearance,exports,265,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1989,marketing year,US,Disappearance,exports,452,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1990,marketing year,US,Disappearance,exports,415,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1991,marketing year,US,Disappearance,exports,298,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1992,marketing year,US,Disappearance,exports,332,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1993,marketing year,US,Disappearance,exports,307,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1994,marketing year,US,Disappearance,exports,424,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1995,marketing year,US,Disappearance,exports,300,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1996,marketing year,US,Disappearance,exports,466,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1997,marketing year,US,Disappearance,exports,440,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1998,marketing year,US,Disappearance,exports,288,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,1999,marketing year,US,Disappearance,exports,447,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2000,marketing year,US,Disappearance,exports,437,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2001,marketing year,US,Disappearance,exports,397,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2002,marketing year,US,Disappearance,exports,634,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2003,marketing year,US,Disappearance,exports,519,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2004,marketing year,US,Disappearance,exports,753,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2005,marketing year,US,Disappearance,exports,558,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2006,marketing year,US,Disappearance,exports,635,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2007,marketing year,US,Disappearance,exports,833,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2008,marketing year,US,Disappearance,exports,232,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2009,marketing year,US,Disappearance,exports,694,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2010,marketing year,US,Disappearance,exports,495,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2011,marketing year,US,Disappearance,exports,594,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2012,marketing year,US,Disappearance,exports,844,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2013,marketing year,US,Disappearance,exports,680,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2014,marketing year,US,Disappearance,exports,410,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2015,marketing year,US,Disappearance,exports,534,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2016,marketing year,US,Disappearance,exports,608,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2017,marketing year,US,Disappearance,exports,630,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2018,marketing year,US,Disappearance,exports,664,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2019,marketing year,US,Disappearance,exports,501,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2020,marketing year,US,Disappearance,exports,778,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2021,marketing year,US,Disappearance,exports,462,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2022,marketing year,US,Disappearance,exports,317,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2023,marketing year,US,Disappearance,exports,330,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2024,marketing year,US,Disappearance,exports,447,"1,000 480-pound bales"
3,"U.S. Extra Long Staple cotton supply and use, 1975/76–2025/26",annual,2025,marketing year,US,Disappearance,exports,375,"1,000 480-pound bales"
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1975,marketing year,US,farm_price,farm_price,51.3,Cents/pound
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1976,marketing year,US,farm_price,farm_price,64.1,Cents/pound
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1977,marketing year,US,farm_price,farm_price,52.3,Cents/pound
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1978,marketing year,US,farm_price,farm_price,58.4,Cents/pound
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1979,marketing year,US,farm_price,farm_price,62.5,Cents/pound
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1980,marketing year,US,farm_price,farm_price,74.7,Cents/pound
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1981,marketing year,US,farm_price,farm_price,54.3,Cents/pound
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1982,marketing year,US,farm_price,farm_price,59.6,Cents/pound
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1983,marketing year,US,farm_price,farm_price,66.6,Cents/pound
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1984,marketing year,US,farm_price,farm_price,58.9,Cents/pound
